index,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,Champ_correct,tot_correct,defense,forfeit,mcw,mcw_pct,date
30-1-1,30,1,1,Mesothelioma is a form of cancer which is virtually always caused by a previous exposure to what?,ASBESTOS,SCIENCE,71,69,41,,,71,,61,1.5,,,,10-Jul-06
30-1-2,30,1,2,"Playwright Jonathan Larson died unexpectedly in the early morning hours of January 25, 1996, the very day of the off-Broadway opening of what multiple Tony-winning musical, his magnum opus?",RENT,THEATRE,88,86,56,,,71,,75,1.5,,,,10-Jul-06
30-1-3,30,1,3,"Former caterer, chef, author, entrepreneur, columnist, and television host Ina Garten has built a foodie empire, with a Hamptons gourmet food store, series of cookbooks, and television program, all with what name?",BAREFOOT CONTESSA,FOOD/DRINK,50,47,28,,,29,,40,1.7,,,,10-Jul-06
30-1-4,30,1,4,"According the U.S. census of 1900, what were the three American cities with populations greater than 1,000,000 in that year?","NEW YORK, CHICAGO, PHILADELPHIA",AMER HIST,54,39,28,,,29,,38,1.8,,,,10-Jul-06
30-1-5,30,1,5,"Identify the American novelist and author of the works A is for Alibi, B is for Burglar, and C is for Corpse.",SUE GRAFTON,LITERATURE,67,58,44,,,43,,54,1.7,,,,10-Jul-06
30-1-6,30,1,6,"What is the name of the French captain and soccer legend who was sent off with a red card in the overtime period of yesterday's FIFA World Cup final against Italy, for head butting an opponent in the chest.",ZINEDINE ZIDANE,GAMES/SPORT,67,86,66,,,57,,72,0.9,,,,10-Jul-06
30-2-1,30,2,1,What are the names of the two largest Spanish language television networks in the United States?,"UNIVISION, TELEMUNDO",TELEVISION,68,81,55,,,69,,68,1.5,,,,11-Jul-06
30-2-2,30,2,2,This is a photograph of a piece of art created in 1917 by what artist?,MARCEL DUCHAMP,ART,64,38,9,,,31,,34,2.2,,,,11-Jul-06
30-2-3,30,2,3,The country of Brazil shares a border with every other country in South America except which two?,"CHILE, ECUADOR",GEOGRAPHY,72,46,18,,,19,,40,1.8,,,,11-Jul-06
30-2-4,30,2,4,"Beginning with a treaty of independence that was negotiated in 1936, the country of Syria ultimately declared and won its independence, in April of 1946, from what country?",FRANCE,WORLD HIST,60,35,15,,,25,,33,1.7,,,,11-Jul-06
30-2-5,30,2,5,"On Monday, a U.S. District Court judge ruled confirming the legality of a May 20 raid by the FBI of the Capitol Hill office of what U.S. Congressman from Louisiana?",WILLIAM JEFFERSON,CURR EVENTS,68,78,39,,,63,,62,1,,,,11-Jul-06
