,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
59-1-1,59,1,1,"The formal agreement known today as the Tripartite Pact was signed on September 27, 1940, by representatives from what three nations?","GERMANY, ITALY, JAPAN",WORLD HIST,88,82,71,59,35,50,60,4.0,0.9
59-1-2,59,1,2,The domicile pictured here features prominently in a work of art with what title? Click here,AMERICAN GOTHIC,ART,90,85,82,77,50,75,74,4.0,1.4
59-1-3,59,1,3,"While Fănică Luca, Dalila Cernătescu, and Simion Stanciu have all achieved relative success, what man is the world's best-known and biggest-selling artist of the Romanian-style pan flute (nai)?",GHEORGHE ZAMFIR,CLASS MUSIC,74,56,49,31,19,30,38,4.0,2.0
59-1-4,59,1,4,"Name the man, a pivotal figure in the history of major league baseball, who, for the 1970 season, was traded from the St. Louis Cardinals to the Philadelphia Phillies (a team for which he never ultimately played)?",CURT FLOOD,GAMES/SPORT,59,52,39,27,15,22,31,4.0,1.6
59-1-5,59,1,5,"Schlemiel! Schlimazel! This dish is a thick, highly seasoned stew of rabbit meat which has been soaked in a wine-vinegar marinade!",HASENPFEFFER,FOOD/DRINK,89,73,63,47,26,41,51,4.0,1.4
59-1-6,59,1,6,"What is the medical name for the muscle, also known as the tailor's muscle, which is the longest in the human body, running from the pelvis across the front of the thigh to the top of the tibia, just below the knee?",SARTORIUS,SCIENCE,48,34,18,11,6,15,18,4.0,1.3
92-1-1,92,1,1,"In the town of Dawson City, in Canada's Yukon Territory, the Yukon River is met by what other river, which gives the broader geographic region its historically famous name?",KLONDIKE RIVER,GEOGRAPHY,85,68,52,33,18,27,42,2.1,1.6
92-1-2,92,1,2,"There are various plausible etymologies for why two regions of the globe—at about 30 degrees north and south of the equator, where winds are generally calm and the weather is sunny, hot, and dry—are known as ""latitudes"" named after what animal?",HORSE,SCIENCE,58,41,30,18,10,19,25,2.1,1.9
92-1-3,92,1,3,"While others were available—including Scribble, Mother Nature, Hoverbot, and Rocky—the default and most common Office Assistant introduced in Microsoft Office 97 was an anthropomorphic character with what name?",CLIPPY (CLIPPIT),LIFESTYLE,94,93,90,88,81,81,87,2.1,0.7
92-1-4,92,1,4,"In August 2021, the account for the Australian musical trio Pnau tweeted, ""We've just written a song with the biggest pop star of yesterday and the biggest pop star of today."" The song's title is ""Cold Heart""—name either of the pop stars subtweeted.","ELTON JOHN, DUA LIPA",POP MUSIC,50,40,32,28,25,28,32,2.1,1.6
92-1-5,92,1,5,"The French diplomat Ferdinand Marie, Vicomte de Lesseps, is remembered today in large part for his role in the successful 1859–69 construction of what?",SUEZ CANAL,WORLD HIST,73,55,37,24,11,21,32,2.1,1.5
92-1-6,92,1,6,"The Bezukhovs, Bolkonskys, Rostovs, Kuragins, and Drubetskoys are central characters in what work of literature published in 1869?",WAR AND PEACE,LITERATURE,94,89,82,74,58,63,75,2.1,1.5
52-1-1,52,1,1,"Of the 46 women who have held the position of First Lady of the United States, how many of them are still living?",SIX,AMER HIST,76,65,53,43,27,58,53,4.5,1.0
52-1-2,52,1,2,The character from Shakespeare (and from earlier English folklore) named Robin Goodfellow is nowadays better known as what?,PUCK,LITERATURE,78,57,49,30,18,44,46,4.5,1.1
52-1-3,52,1,3,"In 1862, an American company named Chase & Sanborn became the first to pack and ship a now common form of what food commodity?",COFFEE,FOOD/DRINK,64,46,35,26,19,34,37,4.5,1.8
52-1-4,52,1,4,"Tahoma is the name of a computer font developed in 1994 for Microsoft Windows, and also an original Native American name for what mountain?",MOUNT RAINIER,GEOGRAPHY,82,71,48,44,39,57,57,4.5,1.8
52-1-5,52,1,5,Identify the actress in this photograph. Click here,ROONEY MARA,FILM,33,32,31,25,17,27,28,4.5,1.6
52-1-6,52,1,6,"While most steel is manufactured using carbon as the alloying material, stainless steel is formed by alloying iron with what other element (at a minumum 11% content by mass)?",CHROMIUM,SCIENCE,58,30,22,13,8,22,25,4.5,1.7
52-2-1,52,2,1,"In late 1982, this rock band, which won the Grammy for Best New Artist for that year, became the first (and still only) Australian act to have a simultaneous #1 single and #1 album in the United States.",MEN AT WORK,POP MUSIC,73,62,57,42,37,55,54,5.2,1.3
52-2-2,52,2,2,"Since September of 1982, there have been only two productions hosted at New York's Winter Garden Theatre, both of which are now among the top ten longest-running musicals in Broadway history. Name either one.","CATS, MAMMA MIA!",THEATRE,87,76,75,65,66,70,73,5.2,1.4
52-2-3,52,2,3,"The highest frequency of visible light, at about 8 x 1014 Hz, is perceived by a normal human eye as what color?",VIOLET,SCIENCE,81,68,57,57,48,59,62,5.2,1.2
52-2-4,52,2,4,"The name of Dr. Bruce Lambert, a UN expert in geodesy and cartography and director of Australia's Division of National Mapping, lives on today as the name of what is widely believed to be the world's largest what?",GLACIER,GEOGRAPHY,24,8,7,9,0,12,11,5.2,2.4
52-2-5,52,2,5,"Name either of the NBA teams that waived New York Knicks point guard Jeremy Lin before he was picked up by his current team on December 27, 2011.","GOLDEN STATE WARRIORS, HOUSTON ROCKETS",GAMES/SPORT,63,62,57,47,44,50,55,5.2,1.3
52-2-6,52,2,6,The Angel Moroni is a pivotal figure in the theology of what religious denomination?,LDS/MORMON CHURCH,LIFESTYLE,94,89,84,67,62,76,79,5.2,1.3
52-3-1,52,3,1,"Ten youngsters tell ten stories each over ten days in what 14th c. allegory, whose name comes from Greek and alludes to the nature of this peculiar frame story technique?",THE DECAMERON,LITERATURE,68,53,43,22,13,42,40,2.9,1.8
52-3-2,52,3,2,The Haber process is used industrially to react hydrogen and nitrogen (using a catalyst) for the manufacture of what?,AMMONIA,SCIENCE,69,63,49,43,26,50,51,2.9,1.7
52-3-3,52,3,3,"In addition to the tenuous Muslim Dervish state in inland Somalia, at the turn of the 20th c. (early 1900s) there were only two independent states on the continent of Africa. Name them both.","ETHIOPIA, LIBERIA",WORLD HIST,58,33,21,8,3,23,24,2.9,2.2
52-3-4,52,3,4,The historical region of Transylvania is located within what modern-day European country?,ROMANIA,GEOGRAPHY,97,94,87,77,61,82,83,2.9,0.6
52-3-5,52,3,5,The 2000 Year Old Man is a comedy skit created by what two comedy writers and performers?,"CARL REINER, MEL BROOKS",LIFESTYLE,77,61,42,31,18,41,44,2.9,1.4
52-3-6,52,3,6,Chevon is a term used in culinary circles occasionally to refer to the meat of what animal?,GOAT,FOOD/DRINK,58,54,50,48,40,41,49,2.9,1.3
52-4-1,52,4,1,Identify the American Neo-expressionist artist and filmmaker responsible for this work. Click here,JULIAN SCHNABEL,ART,29,21,14,8,4,11,15,2.6,2.4
52-4-2,52,4,2,"In modern usage, the term bulge bracket refers to a group of investment banks considered the world's largest and most profitable. During the financial crisis of 2008, three bulge bracket members ceased to exist as independent entitites -- name any two of the three.","BEAR STEARNS, MERRILL LYNCH, LEHMAN BROTHERS",BUS/ECON,82,64,51,56,40,52,57,2.6,1.4
52-4-3,52,4,3,"In 1994, three films were released starring Jim Carrey which became box office hits: Ace Ventura: Pet Detective, Dumb and Dumber, and what other film, which was also Cameron Diaz's feature film debut?",THE MASK,FILM,94,86,88,86,83,81,86,2.6,0.8
52-4-4,52,4,4,"What is the term in geometry, Latin for arrow, which is defined as line segment drawn perpendicular to a chord in a circle, between the midpoint of the chord and the circle's arc?",SAGITTA,MATH,34,11,8,6,1,12,12,2.6,1.8
52-4-5,52,4,5,This is a promotional photo of the cast of what television series? Click here,SMASH,TELEVISION,83,71,72,64,54,68,69,2.6,1.3
52-4-6,52,4,6,The five permanent members of the United Nations Security Council are also the five countries recognized as nuclear-weapon states under the 1970 Nuclear Non-Proliferation Treaty. Russia and the United States are two; name the other three.,"CHINA, FRANCE, UNITED KINGDOM",WORLD HIST,91,83,66,51,47,71,68,2.6,1.3
52-5-1,52,5,1,What was the name of the failed vacation property development company incorporated by Jim and Susan McDougal and Bill and Hillary Clinton in June of 1979?,WHITEWATER,AMER HIST,95,94,82,73,50,75,79,3.1,0.9
52-5-2,52,5,2,"Old Enough, a 1984 film about teenagers in New York City, was the first film to win the Grand Jury Prize (Dramatic) at what film festival?",SUNDANCE,FILM,75,86,73,70,59,71,74,3.1,0.9
